step_500_num_0,[0.5    0.     0.     0.     0.0148]
step_500_num_1,[-1.      -1.       0.5      0.       0.02141]
step_500_num_2,[0.      0.      0.      0.      0.04798]
step_500_num_3,[0.      0.      0.25    0.      0.04739]
step_500_num_4,[0.25    0.25    0.25    0.      0.02553]
step_1000_num_0,[0.       0.       0.       0.       0.002567]
step_1000_num_1,[ 0.      -1.       0.       0.       0.01941]
step_1000_num_2,[0.5     0.25    0.      0.      0.04267]
step_1000_num_3,[0.5     0.75    0.25    0.      0.02933]
step_1000_num_4,[0.5     0.25    0.25    0.      0.02041]
step_1500_num_0,[-1.       -1.        0.        0.        0.006733]
step_1500_num_1,[-1.       -1.        0.25      0.        0.003024]
step_1500_num_2,[ 0.      -1.       0.       0.       0.01629]
step_1500_num_3,[0.5     0.5     0.      0.      0.03313]
step_1500_num_4,[ 0.       -1.        0.        0.        0.003113]
step_2000_num_0,[ 0.      -1.       0.       0.25     0.01938]
step_2000_num_1,[ 0.      -1.       0.       0.       0.02184]
step_2000_num_2,[-1.      -1.       0.       0.       0.02423]
step_2000_num_3,[0.25    0.5     0.      0.      0.03114]
step_2000_num_4,[-1.      -1.       0.25     0.       0.02197]
step_2500_num_0,[-1.      -1.       0.5      0.       0.02065]
step_2500_num_1,[-1.      -1.       0.75     0.       0.02925]
step_2500_num_2,[ 0.25    -1.       0.       0.25     0.01994]
step_2500_num_3,[ 0.       -1.        0.        0.        0.004514]
step_2500_num_4,[ 0.      -1.       0.       0.       0.04474]
step_3000_num_0,[0.75     0.       0.       0.       0.003575]
step_3000_num_1,[0.25    0.      0.      0.      0.02798]
step_3000_num_2,[-1.       -1.        0.25      0.        0.006478]
step_3000_num_3,[ 0.5     -1.       0.5      0.       0.01533]
step_3000_num_4,[ 0.      -1.       0.       0.       0.02786]
step_3500_num_0,[0.25    0.5     0.5     0.      0.01319]
step_3500_num_1,[ 0.      -1.       0.       0.75     0.07547]
step_3500_num_2,[0.25    0.5     0.25    0.      0.03131]
step_3500_num_3,[ 2.500e-01  7.500e-01  5.000e-01  2.500e-01 -4.566e-04]
step_3500_num_4,[ 0.      -1.       0.       0.25     0.06343]
step_4000_num_0,[ 0.      -1.       0.       0.       0.00521]
step_4000_num_1,[0.     0.5    0.     0.     0.0183]
step_4000_num_2,[0.5     0.5     0.      0.      0.03213]
step_4000_num_3,[0.75     0.       0.       0.       0.009362]
step_4000_num_4,[0.25    0.      0.      0.      0.01268]
step_4500_num_0,[0.      0.75    0.5     0.      0.03047]
step_4500_num_1,[1.       0.5      0.       0.       0.002638]
step_4500_num_2,[ 0.       -1.        0.5       0.        0.005284]
step_4500_num_3,[ 0.       -1.        0.        0.        0.004736]
step_4500_num_4,[0.25    0.      0.      0.      0.00434]
step_5000_num_0,[ 0.      -1.       0.       0.       0.01483]
step_5000_num_1,[0.       0.       0.       0.       0.005361]
step_5000_num_2,[0.5     0.5     0.25    0.      0.03535]
step_5000_num_3,[0.5     0.25    0.      0.      0.01734]
